date,open,high,low,close,volume
2025-01-02,100.00,103.20,99.40,102.50,1250000
2025-01-03,102.60,104.10,101.80,103.75,1175000
2025-01-06,103.90,105.00,102.30,102.85,1320000
2025-01-07,102.70,103.40,100.90,101.25,1410000
2025-01-08,101.10,102.80,100.60,102.20,1090000
2025-01-09,102.35,104.70,101.95,104.10,1285000
2025-01-10,104.00,105.30,103.20,104.85,1220000
2025-01-13,104.60,106.10,104.10,105.75,1160000
2025-01-14,105.90,106.40,103.80,104.20,1355000
2025-01-15,104.30,107.00,104.00,106.55,1490000
2025-01-16,106.70,108.20,105.90,107.80,1380000
2025-01-17,107.65,109.00,106.80,108.40,1215000
2025-01-21,108.60,110.10,107.50,109.75,1450000
2025-01-22,109.90,111.30,109.20,110.85,1335000
2025-01-23,110.70,112.00,109.80,111.55,1195000
2025-01-24,111.40,111.90,108.90,109.30,1520000
2025-01-27,109.10,110.20,106.80,107.25,1680000
2025-01-28,107.40,109.50,106.90,108.90,1465000
2025-01-29,109.00,110.80,108.40,110.25,1270000
2025-01-30,110.10,112.40,109.70,111.90,1395000
2025-01-31,112.00,113.60,111.20,113.10,1510000
